Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.741877,-89.133308,1.3447,-0.005935,-5.9351
13.741884,-89.132568,2.9201,-0.012889,-12.8889
13.74189,-89.131829,2.8262,-0.012474,-12.4743
13.741896,-89.131089,2.284,-0.010081,-10.0814
13.741903,-89.13035,1.9446,-0.008583,-8.5832
13.741909,-89.129611,1.3229,-0.005839,-5.839
13.741916,-89.128871,1.3213,-0.005832,-5.832
13.741922,-89.128132,1.3364,-0.005899,-5.8988
13.741928,-89.127392,-0.79,0.003487,3.4867
13.741935,-89.126653,3.704,-0.016349,-16.3489
13.741941,-89.125913,0.6571,-0.0029,-2.9003
13.741947,-89.125174,0.8892,-0.003925,-3.9246
13.741954,-89.124434,0.3742,-0.001652,-1.6516
13.74196,-89.123695,2.7874,-0.012303,-12.3032
13.741967,-89.122955,0.2288,-0.00101,-1.01
13.741973,-89.122216,1.7413,-0.007686,-7.6859
13.741979,-89.121476,-0.8566,0.003781,3.7811
13.741986,-89.120737,1.6823,-0.007425,-7.4253
13.741992,-89.119997,-0.1052,0.000464,0.4642
13.741998,-89.119258,2.3028,-0.010164,-10.1641
13.742005,-89.118518,1.4089,-0.006219,-6.2187
13.742011,-89.117779,2.9902,-0.013198,-13.1983
13.742017,-89.117039,1.9875,-0.008773,-8.7726
13.742024,-89.1163,3.8132,-0.016831,-16.8308
13.74203,-89.115561,3.0829,-0.013607,-13.6073
13.742036,-89.114821,-0.7596,0.003353,3.3527
13.742043,-89.114082,3.2383,-0.014293,-14.2931
13.742049,-89.113342,0.6615,-0.00292,-2.9199
13.742055,-89.112603,3.7652,-0.016619,-16.6188
13.742062,-89.111863,3.5378,-0.015615,-15.6154
13.742068,-89.111124,1.3996,-0.006178,-6.1775
13.742074,-89.110384,2.8215,-0.012454,-12.4537
13.742081,-89.109645,2.4955,-0.011015,-11.0148
13.742087,-89.108905,2.1788,-0.009617,-9.6168
13.742093,-89.108166,1.9932,-0.008798,-8.7978
13.7421,-89.107426,1.728,-0.007627,-7.6272
13.742106,-89.106687,2.3101,-0.010196,-10.1963
13.742112,-89.105947,2.5816,-0.011395,-11.3947
13.742119,-89.105208,2.2084,-0.009747,-9.7474
13.742125,-89.104468,2.4342,-0.010744,-10.7443
13.742131,-89.103729,2.2889,-0.010103,-10.1029
13.742138,-89.102989,2.7451,-0.012116,-12.1162
13.742144,-89.10225,2.6292,-0.011605,-11.6048
13.74215,-89.10151,1.9044,-0.008406,-8.4056
13.742157,-89.100771,2.4194,-0.010679,-10.679
13.742163,-89.100031,3.1145,-0.013747,-13.7467
13.742169,-89.099292,2.518,-0.011114,-11.114
13.742175,-89.098552,2.1138,-0.00933,-9.3301
13.742182,-89.097813,0.9868,-0.004356,-4.3556
13.742188,-89.097073,1.2372,-0.005461,-5.4607
13.742194,-89.096334,1.4531,-0.006414,-6.4137
13.742201,-89.095594,2.4347,-0.010746,-10.7462
13.742207,-89.094855,2.5445,-0.011231,-11.2308
13.742213,-89.094115,2.6051,-0.011499,-11.4987
13.742219,-89.093376,2.6592,-0.011737,-11.7374
13.742226,-89.092637,2.6592,-0.011737,-11.7374
13.742232,-89.091897,2.9913,-0.013203,-13.203
13.742238,-89.091158,2.8574,-0.012612,-12.6122
13.742244,-89.090418,2.8658,-0.012649,-12.6491
13.742251,-89.089679,2.7512,-0.012143,-12.1432
13.742257,-89.088939,2.3955,-0.010573,-10.5731
13.742263,-89.0882,2.4357,-0.010751,-10.7509
13.74227,-89.08746,2.8237,-0.012463,-12.4633
13.742276,-89.086721,2.6844,-0.011848,-11.8483
13.742282,-89.085981,2.8372,-0.012523,-12.5228
13.742288,-89.085242,2.3486,-0.010366,-10.3661
13.742295,-89.084502,2.8194,-0.012444,-12.4442
13.742301,-89.083763,2.9823,-0.013163,-13.1635
13.742307,-89.083023,2.9237,-0.012905,-12.9046
13.742313,-89.082284,2.7425,-0.012105,-12.1049
13.74232,-89.081544,2.6386,-0.011646,-11.6463
13.742326,-89.080805,2.3129,-0.010209,-10.2086
13.742332,-89.080065,2.1234,-0.009372,-9.3723
13.742338,-89.079326,2.4304,-0.010727,-10.7273
13.742344,-89.078586,2.49,-0.010991,-10.9905
13.742351,-89.077847,2.3223,-0.01025,-10.2501
13.742357,-89.077107,2.1672,-0.009566,-9.5655
13.742363,-89.076368,2.4648,-0.010879,-10.8794
13.742369,-89.075628,1.2944,-0.005713,-5.7131
13.742376,-89.074889,1.6498,-0.007282,-7.2817
13.742382,-89.074149,2.1378,-0.009436,-9.436
13.742388,-89.07341,1.9344,-0.008538,-8.5381
13.742394,-89.07267,2.2122,-0.009764,-9.7642
13.7424,-89.071931,2.417,-0.010668,-10.6683
13.742407,-89.071191,2.2002,-0.009711,-9.7113
13.742413,-89.070452,2.4809,-0.01095,-10.9503
13.742419,-89.069712,2.0855,-0.009205,-9.205
13.742425,-89.068973,2.1583,-0.009526,-9.5265
13.742432,-89.068233,2.3211,-0.010245,-10.245
13.742438,-89.067494,2.4242,-0.0107,-10.7001
13.742444,-89.066754,1.9609,-0.008655,-8.655
13.74245,-89.066015,1.9876,-0.008773,-8.7729
13.742456,-89.065275,1.9867,-0.008769,-8.7687
13.742463,-89.064536,2.3507,-0.010375,-10.3754
13.742469,-89.063796,2.2301,-0.009843,-9.8434
13.742475,-89.063057,2.536,-0.011193,-11.1934
13.742481,-89.062317,2.198,-0.009702,-9.7017
13.742487,-89.061578,2.1888,-0.009661,-9.6609
13.742493,-89.060838,2.0737,-0.009153,-9.1528
13.7425,-89.060099,2.0982,-0.009261,-9.261
13.742506,-89.059359,2.0509,-0.009052,-9.0522
13.742512,-89.05862,2.0209,-0.00892,-8.9197
13.742518,-89.05788,1.9777,-0.008729,-8.7292
13.742524,-89.057141,1.9358,-0.008544,-8.5442
13.74253,-89.056401,1.9014,-0.008392,-8.3924
13.742537,-89.055662,1.8706,-0.008256,-8.2563
13.742543,-89.054922,1.8282,-0.008069,-8.0694
13.742549,-89.054183,1.7598,-0.007767,-7.7673
13.742555,-89.053443,1.7627,-0.00778,-7.7801
