Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.741877,-89.133308,0.8726,-0.003852,-3.8517
13.741884,-89.132568,2.4481,-0.010806,-10.8055
13.74189,-89.131829,2.3542,-0.010391,-10.3909
13.741896,-89.131089,1.812,-0.007998,-7.998
13.741903,-89.13035,1.4726,-0.0065,-6.4998
13.741909,-89.129611,0.8509,-0.003756,-3.7556
13.741916,-89.128871,0.8493,-0.003749,-3.7486
13.741922,-89.128132,0.8644,-0.003815,-3.8154
13.741928,-89.127392,-1.262,0.00557,5.5701
13.741935,-89.126653,3.232,-0.014266,-14.2655
13.741941,-89.125913,0.1851,-0.000817,-0.8169
13.741947,-89.125174,0.4171,-0.001841,-1.8412
13.741954,-89.124434,-0.1012,0.000447,0.4467
13.74196,-89.123695,2.312,-0.010205,-10.2049
13.741967,-89.122955,-0.2466,0.001088,1.0883
13.741973,-89.122216,1.2659,-0.005588,-5.5876
13.741979,-89.121476,-1.332,0.005879,5.8794
13.741986,-89.120737,1.2069,-0.005327,-5.327
13.741992,-89.119997,-0.5806,0.002563,2.5625
13.741998,-89.119258,1.8274,-0.008066,-8.0658
13.742005,-89.118518,0.9335,-0.00412,-4.1204
13.742011,-89.117779,2.5148,-0.0111,-11.1
13.742017,-89.117039,1.5121,-0.006674,-6.6743
13.742024,-89.1163,3.3378,-0.014732,-14.7325
13.74203,-89.115561,2.6075,-0.011509,-11.509
13.742036,-89.114821,-1.235,0.005451,5.451
13.742043,-89.114082,2.7629,-0.012195,-12.1948
13.742049,-89.113342,0.1861,-0.000822,-0.8216
13.742055,-89.112603,3.2898,-0.01452,-14.5205
13.742062,-89.111863,3.0624,-0.013517,-13.5171
13.742068,-89.111124,0.9242,-0.004079,-4.0792
13.742074,-89.110384,2.3461,-0.010355,-10.3554
13.742081,-89.109645,2.0201,-0.008916,-8.9165
13.742087,-89.108905,1.7034,-0.007518,-7.5185
13.742093,-89.108166,1.5178,-0.006699,-6.6995
13.7421,-89.107426,1.2526,-0.005529,-5.5289
13.742106,-89.106687,1.8347,-0.008098,-8.098
13.742112,-89.105947,2.1062,-0.009296,-9.2964
13.742119,-89.105208,1.733,-0.007649,-7.6491
13.742125,-89.104468,1.9588,-0.008646,-8.646
13.742131,-89.103729,1.8135,-0.008005,-8.0046
13.742138,-89.102989,2.2697,-0.010018,-10.0179
13.742144,-89.10225,2.1538,-0.009506,-9.5065
13.74215,-89.10151,1.429,-0.006307,-6.3073
13.742157,-89.100771,1.9441,-0.008581,-8.5807
13.742163,-89.100031,2.6391,-0.011648,-11.6484
13.742169,-89.099292,2.0426,-0.009016,-9.0157
13.742175,-89.098552,1.6384,-0.007232,-7.2318
13.742182,-89.097813,0.5114,-0.002257,-2.2573
13.742188,-89.097073,0.7618,-0.003362,-3.3624
13.742194,-89.096334,0.9777,-0.004315,-4.3154
13.742201,-89.095594,1.9593,-0.008648,-8.6479
13.742207,-89.094855,2.0691,-0.009132,-9.1325
13.742213,-89.094115,2.1298,-0.0094,-9.4004
13.742219,-89.093376,2.1838,-0.009639,-9.6391
13.742226,-89.092637,2.1838,-0.009639,-9.6391
13.742232,-89.091897,2.5159,-0.011105,-11.1047
13.742238,-89.091158,2.382,-0.010514,-10.5139
13.742244,-89.090418,2.3904,-0.010551,-10.5508
13.742251,-89.089679,2.2758,-0.010045,-10.0449
13.742257,-89.088939,1.9201,-0.008475,-8.4748
13.742263,-89.0882,1.9603,-0.008653,-8.6526
13.74227,-89.08746,2.3483,-0.010365,-10.365
13.742276,-89.086721,2.209,-0.00975,-9.75
13.742282,-89.085981,2.3618,-0.010424,-10.4245
13.742288,-89.085242,1.8732,-0.008268,-8.2678
13.742295,-89.084502,2.344,-0.010346,-10.3459
13.742301,-89.083763,2.5069,-0.011065,-11.0652
13.742307,-89.083023,2.4483,-0.010806,-10.8063
13.742313,-89.082284,2.2671,-0.010007,-10.0066
13.74232,-89.081544,2.1632,-0.009548,-9.548
13.742326,-89.080805,1.8375,-0.00811,-8.1103
13.742332,-89.080065,1.648,-0.007274,-7.274
13.742338,-89.079326,1.955,-0.008629,-8.629
13.742344,-89.078586,2.0146,-0.008892,-8.8922
13.742351,-89.077847,1.8469,-0.008152,-8.1518
13.742357,-89.077107,1.6918,-0.007467,-7.4672
13.742363,-89.076368,1.9895,-0.008781,-8.7811
13.742369,-89.075628,0.819,-0.003615,-3.6148
13.742376,-89.074889,1.1744,-0.005183,-5.1834
