Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1599160.0,171720.0,-5.0551,295.23,27.21
1599160.0,175880.0,-3.9792,295.11,25.78
1599160.0,180040.0,-4.2075,295.07,25.39
1599160.0,184200.0,-4.9832,295.06,25.17
1599160.0,188360.0,-4.8798,294.9,23.39
1595000.0,171720.0,-5.3026,295.42,29.49
1595000.0,175880.0,-4.8623,295.29,27.88
1595000.0,180040.0,-6.0528,295.27,27.68
1595000.0,184200.0,-5.456,295.26,27.58
1595000.0,188360.0,-3.8664,295.05,25.16
1595000.0,192520.0,-3.0964,294.79,22.12
1595000.0,196680.0,-4.2133,294.54,19.19
1595000.0,200840.0,-6.6446,294.39,17.33
1595000.0,205000.0,-2.6376,294.37,17.12
1595000.0,209160.0,0.7836,294.48,18.42
1590840.0,171720.0,-5.9607,295.67,32.38
1590840.0,175880.0,-3.466,295.5,30.44
1590840.0,180040.0,-4.427,295.49,30.24
1590840.0,184200.0,-6.1511,295.47,30.07
1590840.0,188360.0,-2.8683,295.2,26.83
1590840.0,192520.0,-3.2606,294.85,22.76
1590840.0,196680.0,-3.6067,294.52,18.92
1590840.0,200840.0,-2.5906,294.35,16.85
1590840.0,205000.0,-0.6418,294.33,16.73
1590840.0,209160.0,1.5358,294.42,17.7
1590840.0,213320.0,2.4778,294.56,19.41
1590840.0,217480.0,1.5304,294.87,23.03
1590840.0,221640.0,3.6163,295.21,26.96
1590840.0,225800.0,2.9355,295.54,30.88
1590840.0,229960.0,1.3874,295.98,36.05
1590840.0,250760.0,-4.7954,297.34,51.97
1590840.0,254920.0,-2.9728,297.58,54.73
1590840.0,259080.0,-0.4099,297.75,56.77
1590840.0,263240.0,-1.4353,297.86,58.06
1586680.0,171720.0,-1.1502,296.01,36.37
1586680.0,175880.0,0.3699,295.79,33.75
1586680.0,180040.0,0.9473,295.72,33.0
1586680.0,184200.0,3.2066,295.66,32.23
1586680.0,188360.0,-0.2644,295.29,27.89
1586680.0,192520.0,-0.0888,294.86,22.86
1586680.0,196680.0,2.1759,294.45,18.05
1586680.0,200840.0,1.557,294.23,15.46
1586680.0,205000.0,2.1197,294.2,15.17
1586680.0,209160.0,2.1284,294.25,15.79
1586680.0,213320.0,4.5399,294.38,17.25
1586680.0,217480.0,3.6824,294.69,20.84
1586680.0,221640.0,4.6125,295.04,24.95
1586680.0,225800.0,3.4191,295.4,29.24
