Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1611640.0,138440.0,1.0,295.7,51.69
1611640.0,142600.0,1.0,295.69,51.65
1611640.0,146760.0,1.0,295.66,51.39
1611640.0,150920.0,1.0,295.62,51.06
1611640.0,155080.0,1.0,295.51,50.08
1611640.0,159240.0,1.0,295.37,48.93
1611640.0,163400.0,1.0,295.22,47.67
1611640.0,167560.0,1.0,295.06,46.3
1611640.0,171720.0,1.0,294.96,45.49
1611640.0,175880.0,1.0,294.87,44.73
1611640.0,180040.0,1.0,294.84,44.46
1611640.0,184200.0,1.0,294.83,44.36
1611640.0,188360.0,1.0,294.75,43.71
1611640.0,192520.0,1.0,294.67,43.03
1611640.0,196680.0,1.0,294.57,42.24
1611640.0,200840.0,1.0,294.44,41.15
1611640.0,205000.0,1.0,294.4,40.79
1611640.0,209160.0,1.0,294.57,42.18
1611640.0,213320.0,1.0,294.83,44.41
1611640.0,217480.0,1.0,295.23,47.77
1611640.0,221640.0,1.0,295.59,50.77
1611640.0,225800.0,1.0,295.88,53.23
1611640.0,229960.0,1.0,296.25,56.3
1611640.0,234120.0,1.0,296.44,57.93
1611640.0,238280.0,1.0,296.69,60.04
1611640.0,242440.0,1.0,296.97,62.4
1611640.0,246600.0,1.0,297.19,64.25
1611640.0,250760.0,1.0,297.52,67.05
1611640.0,254920.0,1.0,297.81,69.44
1611640.0,259080.0,1.0,297.95,70.66
1611640.0,263240.0,1.0,297.92,70.35
1611640.0,267400.0,1.0,297.71,68.61
1611640.0,271560.0,1.0,297.39,65.91
1611640.0,275720.0,1.0,297.1,63.49
1611640.0,279880.0,1.0,296.82,61.13
1611640.0,284040.0,1.0,296.57,59.07
1611640.0,288200.0,1.0,296.48,58.26
1611640.0,292360.0,1.0,296.54,58.75
1611640.0,296520.0,1.0,296.75,60.57
1611640.0,300680.0,1.0,297.0,62.68
1611640.0,304840.0,1.0,297.2,64.3
1611640.0,309000.0,1.0,297.27,64.92
1611640.0,313160.0,1.0,297.07,63.25
1611640.0,317320.0,1.0,296.72,60.34
