Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1611640.0,138440.0,0.7355,295.7,51.69
1611640.0,142600.0,0.7389,295.69,51.65
1611640.0,146760.0,0.7423,295.66,51.39
1611640.0,150920.0,0.746,295.62,51.06
1611640.0,155080.0,0.7497,295.51,50.08
1611640.0,159240.0,0.7529,295.37,48.93
1611640.0,163400.0,0.7561,295.22,47.67
1611640.0,167560.0,0.7597,295.06,46.3
1611640.0,171720.0,0.7634,294.96,45.49
1611640.0,175880.0,0.7674,294.87,44.73
1611640.0,180040.0,0.7713,294.84,44.46
1611640.0,184200.0,0.775,294.83,44.36
1611640.0,188360.0,0.7787,294.75,43.71
1611640.0,192520.0,0.7824,294.67,43.03
1611640.0,196680.0,0.786,294.57,42.24
1611640.0,200840.0,0.7897,294.44,41.15
1611640.0,205000.0,0.7935,294.4,40.79
1611640.0,209160.0,0.7974,294.57,42.18
1611640.0,213320.0,0.8012,294.83,44.41
1611640.0,217480.0,0.8049,295.23,47.77
1611640.0,221640.0,0.8086,295.59,50.77
1611640.0,225800.0,0.8123,295.88,53.23
1611640.0,229960.0,0.8163,296.25,56.3
1611640.0,234120.0,0.8205,296.44,57.93
1611640.0,238280.0,0.8242,296.69,60.04
1611640.0,242440.0,0.828,296.97,62.4
1611640.0,246600.0,0.8321,297.19,64.25
1611640.0,250760.0,0.8361,297.52,67.05
1611640.0,254920.0,0.8401,297.81,69.44
1611640.0,259080.0,0.844,297.95,70.66
1611640.0,263240.0,0.8478,297.92,70.35
1611640.0,267400.0,0.8516,297.71,68.61
1611640.0,271560.0,0.8558,297.39,65.91
1611640.0,275720.0,0.86,297.1,63.49
1611640.0,279880.0,0.8643,296.82,61.13
1611640.0,284040.0,0.8685,296.57,59.07
1611640.0,288200.0,0.8728,296.48,58.26
1611640.0,292360.0,0.8771,296.54,58.75
1611640.0,296520.0,0.8813,296.75,60.57
1611640.0,300680.0,0.8855,297.0,62.68
1611640.0,304840.0,0.8897,297.2,64.3
1611640.0,309000.0,0.8937,297.27,64.92
1611640.0,313160.0,0.8975,297.07,63.25
1611640.0,317320.0,0.9019,296.72,60.34
1611640.0,321480.0,0.9065,296.22,56.07
1611640.0,325640.0,0.9112,295.59,50.83
1611640.0,329800.0,0.9159,295.12,46.86
1611640.0,333960.0,0.9204,294.8,44.14
1611640.0,338120.0,0.9249,294.87,44.73
1611640.0,342280.0,0.9292,295.03,46.06
1611640.0,346440.0,0.9335,294.99,45.78
1611640.0,350600.0,0.938,294.9,45.03
1611640.0,354760.0,0.9425,294.33,40.22
1611640.0,358920.0,0.9471,293.56,33.73
1611640.0,363080.0,0.9517,292.64,25.94
1611640.0,367240.0,0.9565,291.53,16.61
1611640.0,371400.0,0.9612,290.79,10.38
1611640.0,375560.0,0.9659,290.09,4.52
1611640.0,379720.0,0.9707,289.69,1.19
1611640.0,383880.0,0.9756,289.63,0.63
1611640.0,388040.0,0.9804,289.58,0.28
1611640.0,392200.0,0.9849,289.67,0.96
1611640.0,396360.0,0.9896,289.99,3.66
1611640.0,400520.0,0.9944,290.38,6.96
1611640.0,404680.0,0.9993,290.84,10.82
1611640.0,408840.0,1.0043,291.48,16.25
1611640.0,413000.0,1.0091,291.99,20.48
1611640.0,417160.0,1.0139,292.38,23.79
1611640.0,421320.0,1.0192,292.51,24.84
1607480.0,138440.0,0.7365,295.67,51.45
1607480.0,142600.0,0.7399,295.66,51.41
1607480.0,146760.0,0.7432,295.63,51.15
1607480.0,150920.0,0.7468,295.59,50.83
1607480.0,155080.0,0.7503,295.48,49.88
1607480.0,159240.0,0.7536,295.35,48.75
1607480.0,163400.0,0.7569,295.2,47.52
1607480.0,167560.0,0.7606,295.04,46.17
1607480.0,171720.0,0.7644,294.95,45.38
1607480.0,175880.0,0.7683,294.86,44.63
1607480.0,180040.0,0.7721,294.83,44.37
1607480.0,184200.0,0.7758,294.82,44.28
1607480.0,188360.0,0.7795,294.74,43.66
1607480.0,192520.0,0.7832,294.67,43.02
1607480.0,196680.0,0.7869,294.58,42.25
1607480.0,200840.0,0.7906,294.45,41.18
1607480.0,205000.0,0.7944,294.4,40.82
1607480.0,209160.0,0.7982,294.57,42.22
1607480.0,213320.0,0.802,294.84,44.46
1607480.0,217480.0,0.8058,295.24,47.83
1607480.0,221640.0,0.8096,295.59,50.83
1607480.0,225800.0,0.8135,295.89,53.28
1607480.0,229960.0,0.8174,296.25,56.34
1607480.0,234120.0,0.8213,296.44,57.95
1607480.0,238280.0,0.8248,296.69,60.05
1607480.0,242440.0,0.8284,296.97,62.42
1607480.0,246600.0,0.8325,297.19,64.26
1607480.0,250760.0,0.8366,297.53,67.07
1607480.0,254920.0,0.8408,297.81,69.47
1607480.0,259080.0,0.845,297.96,70.69
1607480.0,263240.0,0.8489,297.92,70.36
1607480.0,267400.0,0.8529,297.71,68.59
1607480.0,271560.0,0.8568,297.38,65.88
1607480.0,275720.0,0.8609,297.1,63.45
1607480.0,279880.0,0.8652,296.81,61.09
1607480.0,284040.0,0.8695,296.57,59.01
1607480.0,288200.0,0.8738,296.47,58.18
1607480.0,292360.0,0.878,296.52,58.65
1607480.0,296520.0,0.8822,296.74,60.47
1607480.0,300680.0,0.8862,296.99,62.58
1607480.0,304840.0,0.8902,297.18,64.18
1607480.0,309000.0,0.8943,297.25,64.78
1607480.0,313160.0,0.8984,297.05,63.08
1607480.0,317320.0,0.9028,296.7,60.14
1607480.0,321480.0,0.9072,296.19,55.86
1607480.0,325640.0,0.9119,295.57,50.6
1607480.0,329800.0,0.9167,295.09,46.62
1607480.0,333960.0,0.9212,294.77,43.89
1607480.0,338120.0,0.9258,294.84,44.49
1607480.0,342280.0,0.9301,295.0,45.85
1607480.0,346440.0,0.9343,294.97,45.59
1607480.0,350600.0,0.9388,294.88,44.85
1607480.0,354760.0,0.9434,294.31,40.03
1607480.0,358920.0,0.9481,293.54,33.53
1607480.0,363080.0,0.9528,292.61,25.71
1607480.0,367240.0,0.9574,291.5,16.35
1607480.0,371400.0,0.9619,290.75,10.12
1607480.0,375560.0,0.9667,290.06,4.26
1607480.0,379720.0,0.9716,289.67,0.96
1607480.0,383880.0,0.9765,289.6,0.41
1607480.0,388040.0,0.9813,289.56,0.07
1607480.0,392200.0,0.986,289.64,0.75
1607480.0,396360.0,0.9906,289.96,3.44
1607480.0,400520.0,0.9951,290.35,6.73
1607480.0,404680.0,1.0,290.81,10.57
