Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1599160.0,171720.0,0.7488,295.23,27.21
1599160.0,175880.0,0.5043,295.11,25.78
1599160.0,180040.0,0.7698,295.07,25.39
1599160.0,184200.0,0.7523,295.06,25.17
1599160.0,188360.0,0.7607,294.9,23.39
1595000.0,171720.0,0.8407,295.42,29.49
1595000.0,175880.0,0.6867,295.29,27.88
1595000.0,180040.0,0.7083,295.27,27.68
1595000.0,184200.0,0.7418,295.26,27.58
1595000.0,188360.0,0.9497,295.05,25.16
1595000.0,192520.0,0.1469,294.79,22.12
1595000.0,196680.0,0.9675,294.54,19.19
1595000.0,200840.0,0.2527,294.39,17.33
1595000.0,205000.0,0.8801,294.37,17.12
1595000.0,209160.0,0.7204,294.48,18.42
1590840.0,171720.0,0.9258,295.67,32.38
1590840.0,175880.0,0.8764,295.5,30.44
1590840.0,180040.0,0.8309,295.49,30.24
1590840.0,184200.0,0.6601,295.47,30.07
1590840.0,188360.0,0.9619,295.2,26.83
1590840.0,192520.0,0.9372,294.85,22.76
1590840.0,196680.0,0.9241,294.52,18.92
1590840.0,200840.0,0.89,294.35,16.85
1590840.0,205000.0,0.9547,294.33,16.73
1590840.0,209160.0,0.8076,294.42,17.7
1590840.0,213320.0,0.8888,294.56,19.41
1590840.0,217480.0,0.9487,294.87,23.03
1590840.0,221640.0,0.9351,295.21,26.96
1590840.0,225800.0,0.9333,295.54,30.88
1590840.0,229960.0,0.7185,295.98,36.05
1590840.0,250760.0,0.8265,297.34,51.97
1590840.0,254920.0,0.5799,297.58,54.73
1590840.0,259080.0,0.7875,297.75,56.77
1590840.0,263240.0,0.8466,297.86,58.06
1586680.0,171720.0,0.9252,296.01,36.37
1586680.0,175880.0,0.8781,295.79,33.75
1586680.0,180040.0,0.9592,295.72,33.0
1586680.0,184200.0,0.9081,295.66,32.23
1586680.0,188360.0,0.7563,295.29,27.89
1586680.0,192520.0,0.9738,294.86,22.86
1586680.0,196680.0,0.939,294.45,18.05
1586680.0,200840.0,0.9029,294.23,15.46
1586680.0,205000.0,0.6962,294.2,15.17
1586680.0,209160.0,0.6179,294.25,15.79
1586680.0,213320.0,0.8047,294.38,17.25
1586680.0,217480.0,0.9424,294.69,20.84
1586680.0,221640.0,0.9427,295.04,24.95
1586680.0,225800.0,0.8412,295.4,29.24
1586680.0,229960.0,0.6631,295.89,34.98
1586680.0,234120.0,0.7213,296.22,38.83
1586680.0,238280.0,0.9103,296.57,42.95
1586680.0,242440.0,0.7239,296.86,46.35
1586680.0,246600.0,0.6634,297.03,48.27
1586680.0,250760.0,0.8206,297.3,51.53
1586680.0,254920.0,0.5962,297.52,54.03
1586680.0,259080.0,0.709,297.69,56.08
1586680.0,263240.0,0.8663,297.84,57.82
1586680.0,267400.0,0.5332,297.87,58.12
1586680.0,271560.0,0.6232,297.72,56.4
1586680.0,275720.0,0.6096,297.43,52.95
1586680.0,279880.0,0.709,297.18,50.06
1586680.0,284040.0,0.4803,297.14,49.58
1582520.0,171720.0,0.8712,296.41,41.0
1582520.0,175880.0,0.9258,296.09,37.3
1582520.0,180040.0,0.945,295.92,35.32
1582520.0,184200.0,0.9475,295.75,33.3
1582520.0,188360.0,0.9588,295.26,27.6
1582520.0,192520.0,0.922,294.77,21.85
1582520.0,196680.0,0.9515,294.29,16.15
1582520.0,200840.0,0.7282,293.99,12.65
1582520.0,205000.0,0.9301,293.91,11.8
1582520.0,209160.0,0.961,293.94,12.1
1582520.0,213320.0,0.9562,294.08,13.69
1582520.0,217480.0,0.4878,294.42,17.77
1582520.0,221640.0,0.9574,294.82,22.46
1582520.0,225800.0,0.8996,295.25,27.41
1582520.0,229960.0,0.8918,295.81,34.02
1582520.0,234120.0,0.6718,296.2,38.53
1582520.0,238280.0,0.9565,296.59,43.16
1582520.0,242440.0,0.8955,296.9,46.78
1582520.0,246600.0,0.4009,297.05,48.58
1582520.0,250760.0,0.8113,297.31,51.65
1582520.0,254920.0,0.8497,297.5,53.87
1582520.0,259080.0,0.8201,297.67,55.83
1582520.0,263240.0,0.7221,297.84,57.78
1582520.0,267400.0,0.7582,297.9,58.49
1582520.0,271560.0,0.4592,297.81,57.44
1582520.0,275720.0,0.2531,297.57,54.59
1582520.0,279880.0,0.2392,297.37,52.29
1582520.0,284040.0,0.6137,297.37,52.28
1582520.0,288200.0,0.6201,297.51,53.94
1582520.0,292360.0,0.1122,297.74,56.65
1582520.0,296520.0,0.8657,297.92,58.79
1582520.0,300680.0,0.6125,298.17,61.72
1582520.0,304840.0,0.6858,298.55,66.1
1578360.0,167560.0,0.9466,296.99,47.81
1578360.0,171720.0,0.8996,296.7,44.41
1578360.0,175880.0,0.9618,296.29,39.59
1578360.0,180040.0,0.8869,295.99,36.13
1578360.0,184200.0,0.9414,295.69,32.64
1578360.0,188360.0,0.9756,295.1,25.74
1578360.0,192520.0,0.9263,294.59,19.71
1578360.0,196680.0,0.9335,294.05,13.41
1578360.0,200840.0,0.6417,293.66,8.85
1578360.0,205000.0,0.7777,293.52,7.2
1578360.0,209160.0,0.7877,293.54,7.36
1578360.0,213320.0,0.8616,293.72,9.48
1578360.0,217480.0,0.9363,294.15,14.53
1578360.0,221640.0,0.9697,294.62,20.08
1578360.0,225800.0,0.3756,295.11,25.82
1578360.0,229960.0,0.248,295.76,33.43
1578360.0,234120.0,0.8318,296.2,38.58
1578360.0,238280.0,0.8099,296.64,43.72
1578360.0,242440.0,0.9297,296.97,47.65
1578360.0,246600.0,0.7018,297.13,49.44
1578360.0,250760.0,0.6042,297.38,52.46
1578360.0,254920.0,0.705,297.56,54.51
1578360.0,259080.0,0.9142,297.71,56.33
1578360.0,263240.0,0.826,297.88,58.23
1578360.0,267400.0,0.5911,297.94,59.01
1578360.0,271560.0,0.5555,297.89,58.45
1578360.0,275720.0,0.3713,297.71,56.31
1578360.0,279880.0,0.6705,297.57,54.65
1578360.0,284040.0,0.6667,297.59,54.87
1578360.0,288200.0,0.5068,297.72,56.38
1578360.0,292360.0,0.695,297.94,58.93
1578360.0,296520.0,0.589,298.11,61.02
1578360.0,300680.0,0.8143,298.34,63.72
1578360.0,304840.0,0.6501,298.66,67.41
1578360.0,309000.0,0.5677,298.9,70.23
1578360.0,313160.0,0.8711,299.05,71.93
1578360.0,317320.0,0.7187,299.04,71.86
1578360.0,321480.0,0.8638,298.89,70.1
1578360.0,325640.0,0.5853,298.66,67.47
1574200.0,167560.0,0.7703,297.28,51.25
1574200.0,171720.0,0.9652,296.97,47.56
1574200.0,175880.0,0.8281,296.46,41.67
1574200.0,180040.0,0.5299,296.03,36.64
1574200.0,184200.0,0.6438,295.61,31.63
1574200.0,188360.0,0.9371,294.93,23.69
1574200.0,192520.0,0.6254,294.41,17.63
1574200.0,196680.0,0.853,293.84,10.98
1574200.0,200840.0,0.8463,293.37,5.4
1574200.0,205000.0,0.9545,293.16,2.93
1574200.0,209160.0,0.7829,293.16,3.0
1574200.0,213320.0,0.8765,293.39,5.71
1574200.0,217480.0,0.9115,293.91,11.74
1574200.0,221640.0,0.6789,294.45,18.13
1574200.0,225800.0,0.7968,295.01,24.58
1574200.0,229960.0,0.9348,295.73,33.09
1574200.0,234120.0,0.7666,296.22,38.78
1574200.0,238280.0,0.9654,296.69,44.35
1574200.0,242440.0,0.946,297.05,48.57
1574200.0,246600.0,0.8243,297.21,50.37
1574200.0,250760.0,0.6157,297.46,53.32
1574200.0,254920.0,0.5082,297.62,55.2
1574200.0,259080.0,0.9286,297.76,56.84
1574200.0,263240.0,0.8654,297.9,58.52
1574200.0,267400.0,0.8498,297.96,59.22
1574200.0,271560.0,0.6619,297.95,59.07
1574200.0,275720.0,0.8522,297.83,57.73
1574200.0,279880.0,0.723,297.75,56.74
1574200.0,284040.0,0.2499,297.78,57.05
1574200.0,288200.0,0.6769,297.87,58.2
1574200.0,292360.0,0.7709,298.06,60.43
1574200.0,296520.0,0.666,298.24,62.46
1574200.0,300680.0,0.8658,298.44,64.89
1574200.0,304840.0,0.8737,298.69,67.73
1574200.0,309000.0,0.4571,298.85,69.64
1574200.0,313160.0,0.8655,298.99,71.25
1574200.0,317320.0,0.6404,299.05,72.0
1574200.0,321480.0,0.5297,299.0,71.42
1574200.0,325640.0,0.6949,298.86,69.79
1574200.0,329800.0,0.56,298.68,67.63
1574200.0,333960.0,0.5768,298.39,64.28
1570040.0,167560.0,0.8153,297.64,55.48
1570040.0,171720.0,0.9189,297.31,51.59
1570040.0,175880.0,0.9515,296.72,44.72
1570040.0,180040.0,0.8369,296.17,38.21
1570040.0,184200.0,0.7364,295.62,31.74
1570040.0,188360.0,0.8836,294.86,22.87
1570040.0,192520.0,0.8971,294.35,16.86
1570040.0,196680.0,0.5927,293.76,10.0
1570040.0,200840.0,0.8655,293.22,3.7
1570040.0,205000.0,0.7956,292.96,0.59
1570040.0,209160.0,0.4144,292.95,0.46
1570040.0,213320.0,0.8905,293.2,3.46
1570040.0,217480.0,0.8825,293.76,10.03
1570040.0,221640.0,0.8497,294.35,16.89
1570040.0,225800.0,0.9393,294.94,23.79
1570040.0,229960.0,0.8528,295.71,32.86
1570040.0,234120.0,0.9717,296.23,38.93
1570040.0,238280.0,0.8903,296.73,44.77
1570040.0,242440.0,0.8298,297.1,49.12
1570040.0,246600.0,0.9326,297.25,50.84
1570040.0,250760.0,0.6324,297.48,53.57
1570040.0,254920.0,0.3157,297.61,55.16
1570040.0,259080.0,0.8462,297.73,56.53
1570040.0,263240.0,0.7992,297.86,57.98
1570040.0,267400.0,0.8191,297.91,58.64
1570040.0,271560.0,0.4957,297.94,58.96
1570040.0,275720.0,0.5116,297.9,58.47
1570040.0,279880.0,0.6677,297.87,58.17
1570040.0,284040.0,0.7806,297.9,58.53
1570040.0,288200.0,0.6613,297.96,59.26
1570040.0,292360.0,0.6978,298.12,61.07
1570040.0,296520.0,0.4056,298.28,62.96
1570040.0,300680.0,0.9038,298.46,65.11
1570040.0,304840.0,0.946,298.64,67.17
1570040.0,309000.0,0.5949,298.74,68.34
1570040.0,313160.0,0.7179,298.88,70.04
1570040.0,317320.0,0.8647,299.03,71.75
1570040.0,321480.0,0.6611,299.09,72.5
1570040.0,325640.0,0.5558,299.06,72.08
1570040.0,329800.0,0.7601,298.94,70.67
1570040.0,333960.0,0.3637,298.67,67.57
1565880.0,196680.0,0.8382,293.86,11.17
1565880.0,200840.0,0.8855,293.3,4.63
1565880.0,205000.0,0.8909,293.02,1.3
1565880.0,209160.0,0.4941,292.97,0.79
1565880.0,213320.0,0.8922,293.2,3.48
1565880.0,217480.0,0.8561,293.74,9.8
1565880.0,221640.0,0.8161,294.32,16.55
1565880.0,225800.0,0.9344,294.91,23.49
1565880.0,229960.0,0.837,295.7,32.67
1565880.0,234120.0,0.9483,296.23,38.94
1565880.0,238280.0,0.9698,296.73,44.84
1565880.0,242440.0,0.7435,297.09,49.07
1565880.0,246600.0,0.5976,297.22,50.53
1565880.0,250760.0,0.9235,297.41,52.79
1565880.0,254920.0,0.9353,297.51,53.89
1565880.0,259080.0,0.9038,297.59,54.9
1565880.0,263240.0,0.8459,297.7,56.19
1565880.0,267400.0,0.8191,297.77,56.98
1565880.0,271560.0,0.8071,297.84,57.86
1565880.0,275720.0,0.584,297.87,58.2
1565880.0,279880.0,0.6745,297.9,58.56
1565880.0,284040.0,0.7348,297.94,59.02
1565880.0,288200.0,0.7729,297.98,59.41
1565880.0,292360.0,0.7376,298.1,60.81
1565880.0,296520.0,0.8335,298.23,62.39
1565880.0,300680.0,0.926,298.39,64.25
1565880.0,304840.0,0.8006,298.53,65.84
1565880.0,309000.0,0.4385,298.6,66.68
1565880.0,313160.0,0.7493,298.79,68.92
1565880.0,317320.0,0.283,299.03,71.74
1565880.0,321480.0,0.3764,299.22,73.97
1565880.0,325640.0,0.6846,299.32,75.13
1565880.0,329800.0,0.5469,299.29,74.75
1565880.0,333960.0,0.8829,299.06,72.13
1561720.0,196680.0,0.8776,294.0,12.75
1561720.0,200840.0,0.9185,293.46,6.52
1561720.0,205000.0,0.7059,293.21,3.49
1561720.0,209160.0,0.7131,293.14,2.71
1561720.0,213320.0,0.7536,293.31,4.76
1561720.0,217480.0,0.8766,293.8,10.41
1561720.0,221640.0,0.7507,294.34,16.82
1561720.0,225800.0,0.6485,294.93,23.68
1561720.0,229960.0,0.9117,295.7,32.77
1561720.0,234120.0,0.6804,296.24,39.11
1561720.0,238280.0,0.858,296.74,44.96
1561720.0,242440.0,0.7362,297.09,48.98
1561720.0,246600.0,0.7359,297.19,50.14
1561720.0,250760.0,0.9018,297.33,51.86
1561720.0,254920.0,0.9546,297.38,52.44
1561720.0,259080.0,0.8796,297.43,53.03
1561720.0,263240.0,0.6644,297.52,54.11
1561720.0,267400.0,0.9446,297.6,54.99
1561720.0,271560.0,0.4625,297.7,56.22
1561720.0,275720.0,0.9363,297.78,57.06
1561720.0,279880.0,0.9279,297.84,57.84
1561720.0,284040.0,0.8328,297.89,58.42
1561720.0,288200.0,0.6824,297.91,58.63
1561720.0,292360.0,0.8549,298.0,59.69
1561720.0,296520.0,0.6773,298.1,60.88
1561720.0,300680.0,0.8046,298.23,62.39
1561720.0,304840.0,0.6448,298.34,63.71
1561720.0,309000.0,0.9114,298.41,64.48
1561720.0,313160.0,0.8387,298.64,67.22
1561720.0,317320.0,0.8009,298.95,70.77
1561720.0,321480.0,0.8259,299.23,74.07
1561720.0,325640.0,0.7358,299.45,76.63
1561720.0,329800.0,0.7535,299.51,77.34
1561720.0,333960.0,0.7021,299.33,75.28
1561720.0,338120.0,0.4992,299.03,71.8
1561720.0,342280.0,0.5285,298.59,66.56
1561720.0,346440.0,0.7097,298.03,60.04
