Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1611640.0,138440.0,2011.9012,295.7,51.69
1611640.0,142600.0,2527.8608,295.69,51.65
1611640.0,146760.0,2213.3826,295.66,51.39
1611640.0,150920.0,1661.2188,295.62,51.06
1611640.0,155080.0,1689.9238,295.51,50.08
1611640.0,159240.0,2202.854,295.37,48.93
1611640.0,163400.0,2512.1045,295.22,47.67
1611640.0,167560.0,2222.9636,295.06,46.3
1611640.0,171720.0,2047.6627,294.96,45.49
1611640.0,175880.0,1341.4191,294.87,44.73
1611640.0,180040.0,1197.748,294.84,44.46
1611640.0,184200.0,1157.9469,294.83,44.36
1611640.0,188360.0,1015.0951,294.75,43.71
1611640.0,192520.0,1022.2401,294.67,43.03
1611640.0,196680.0,1228.8488,294.57,42.24
1611640.0,200840.0,1320.8625,294.44,41.15
1611640.0,205000.0,885.7518,294.4,40.79
1611640.0,209160.0,797.0892,294.57,42.18
1611640.0,213320.0,941.722,294.83,44.41
1611640.0,217480.0,1121.2544,295.23,47.77
1611640.0,221640.0,877.0121,295.59,50.77
1611640.0,225800.0,1080.441,295.88,53.23
1611640.0,229960.0,926.7811,296.25,56.3
1611640.0,234120.0,726.0707,296.44,57.93
1611640.0,238280.0,1198.8412,296.69,60.04
1611640.0,242440.0,1170.7573,296.97,62.4
1611640.0,246600.0,944.7667,297.19,64.25
1611640.0,250760.0,935.1798,297.52,67.05
1611640.0,254920.0,1022.6301,297.81,69.44
1611640.0,259080.0,1016.3816,297.95,70.66
1611640.0,263240.0,1296.1385,297.92,70.35
1611640.0,267400.0,1766.4705,297.71,68.61
1611640.0,271560.0,1729.3195,297.39,65.91
1611640.0,275720.0,1352.0731,297.1,63.49
1611640.0,279880.0,1161.4017,296.82,61.13
1611640.0,284040.0,1164.1962,296.57,59.07
1611640.0,288200.0,1082.9753,296.48,58.26
1611640.0,292360.0,826.3169,296.54,58.75
1611640.0,296520.0,989.5319,296.75,60.57
1611640.0,300680.0,1064.4095,297.0,62.68
1611640.0,304840.0,1044.6084,297.2,64.3
1611640.0,309000.0,1547.4554,297.27,64.92
1611640.0,313160.0,1814.3785,297.07,63.25
1611640.0,317320.0,2496.1118,296.72,60.34
1611640.0,321480.0,1859.1396,296.22,56.07
1611640.0,325640.0,1120.7109,295.59,50.83
1611640.0,329800.0,879.6386,295.12,46.86
1611640.0,333960.0,742.6951,294.8,44.14
1611640.0,338120.0,847.0574,294.87,44.73
1611640.0,342280.0,1020.9729,295.03,46.06
1611640.0,346440.0,1438.4728,294.99,45.78
1611640.0,350600.0,1443.0485,294.9,45.03
1611640.0,354760.0,1573.6974,294.33,40.22
1611640.0,358920.0,1489.5062,293.56,33.73
1611640.0,363080.0,1562.0448,292.64,25.94
1611640.0,367240.0,1029.3018,291.53,16.61
1611640.0,371400.0,1200.1718,290.79,10.38
1611640.0,375560.0,1382.0491,290.09,4.52
1611640.0,379720.0,993.8106,289.69,1.19
1611640.0,383880.0,572.1904,289.63,0.63
1611640.0,388040.0,666.6071,289.58,0.28
1611640.0,392200.0,1012.6937,289.67,0.96
1611640.0,396360.0,1484.3311,289.99,3.66
1611640.0,400520.0,1286.8937,290.38,6.96
1611640.0,404680.0,1196.7961,290.84,10.82
1611640.0,408840.0,1102.0868,291.48,16.25
1611640.0,413000.0,1124.8893,291.99,20.48
1611640.0,417160.0,1359.2938,292.38,23.79
1611640.0,421320.0,850.3494,292.51,24.84
1607480.0,138440.0,1621.2861,295.67,51.45
1607480.0,142600.0,1896.4769,295.66,51.41
1607480.0,146760.0,1831.2417,295.63,51.15
1607480.0,150920.0,2112.5886,295.59,50.83
1607480.0,155080.0,1749.573,295.48,49.88
1607480.0,159240.0,2188.2036,295.35,48.75
1607480.0,163400.0,2360.2588,295.2,47.52
1607480.0,167560.0,2033.8354,295.04,46.17
1607480.0,171720.0,1842.1976,294.95,45.38
1607480.0,175880.0,1194.3363,294.86,44.63
1607480.0,180040.0,1063.9105,294.83,44.37
1607480.0,184200.0,1015.8402,294.82,44.28
1607480.0,188360.0,974.4637,294.74,43.66
1607480.0,192520.0,976.5519,294.67,43.02
1607480.0,196680.0,1076.1604,294.58,42.25
1607480.0,200840.0,967.8766,294.45,41.18
1607480.0,205000.0,886.6186,294.4,40.82
1607480.0,209160.0,845.8283,294.57,42.22
1607480.0,213320.0,899.9832,294.84,44.46
1607480.0,217480.0,937.0836,295.24,47.83
1607480.0,221640.0,885.8583,295.59,50.83
1607480.0,225800.0,751.2919,295.89,53.28
1607480.0,229960.0,747.5803,296.25,56.34
1607480.0,234120.0,752.4564,296.44,57.95
1607480.0,238280.0,960.1872,296.69,60.05
1607480.0,242440.0,1767.1056,296.97,62.42
1607480.0,246600.0,1435.6932,297.19,64.26
1607480.0,250760.0,1382.4501,297.53,67.07
1607480.0,254920.0,1050.2178,297.81,69.47
1607480.0,259080.0,843.7568,297.96,70.69
1607480.0,263240.0,1223.5248,297.92,70.36
1607480.0,267400.0,1298.1794,297.71,68.59
1607480.0,271560.0,1560.5555,297.38,65.88
1607480.0,275720.0,1478.9806,297.1,63.45
1607480.0,279880.0,1177.4578,296.81,61.09
1607480.0,284040.0,966.8657,296.57,59.01
1607480.0,288200.0,892.1569,296.47,58.18
1607480.0,292360.0,912.0154,296.52,58.65
1607480.0,296520.0,1107.1787,296.74,60.47
1607480.0,300680.0,1277.0464,296.99,62.58
1607480.0,304840.0,1511.3185,297.18,64.18
1607480.0,309000.0,2033.9025,297.25,64.78
1607480.0,313160.0,2102.6494,297.05,63.08
1607480.0,317320.0,2650.9856,296.7,60.14
1607480.0,321480.0,2113.8396,296.19,55.86
1607480.0,325640.0,1207.1493,295.57,50.6
1607480.0,329800.0,1031.3862,295.09,46.62
1607480.0,333960.0,952.8074,294.77,43.89
1607480.0,338120.0,828.4172,294.84,44.49
1607480.0,342280.0,1150.3617,295.0,45.85
1607480.0,346440.0,1524.1349,294.97,45.59
1607480.0,350600.0,1546.4353,294.88,44.85
1607480.0,354760.0,1745.9414,294.31,40.03
1607480.0,358920.0,1393.8335,293.54,33.53
1607480.0,363080.0,1282.5204,292.61,25.71
1607480.0,367240.0,1195.0637,291.5,16.35
1607480.0,371400.0,1572.9679,290.75,10.12
1607480.0,375560.0,1842.842,290.06,4.26
1607480.0,379720.0,1130.5414,289.67,0.96
1607480.0,383880.0,985.2297,289.6,0.41
1607480.0,388040.0,525.1278,289.56,0.07
1607480.0,392200.0,643.9483,289.64,0.75
1607480.0,396360.0,1467.2821,289.96,3.44
1607480.0,400520.0,1738.2384,290.35,6.73
