Latitud,Longitud,Valor_Sentinel,Temp_2m_ERA5_(C),Temp_10m_ERA5_(C),Vapor_Agua_(mm),Humedad_Relativa_(%),Factor_Error_(%)
1436920.0,288200.0,0.0048,27.89,28.24,43.1,73.18,97.77
1436920.0,292360.0,0.0053,27.87,28.24,43.07,73.27,97.62
1436920.0,296520.0,0.0039,27.86,28.24,43.04,73.35,97.46
1436920.0,300680.0,0.0023,27.85,28.23,43.01,73.43,97.31
1436920.0,304840.0,0.0095,27.84,28.23,42.97,73.52,97.15
1436920.0,309000.0,0.0037,27.83,28.23,42.94,73.61,96.99
1436920.0,313160.0,0.0046,27.8,28.21,42.87,73.75,96.63
1436920.0,317320.0,0.0075,27.77,28.18,42.77,73.9,96.19
1436920.0,321480.0,0.0063,27.74,28.15,42.68,74.06,95.75
1436920.0,325640.0,0.0038,27.71,28.12,42.59,74.23,95.3
1436920.0,329800.0,0.0143,27.68,28.09,42.5,74.39,94.86
1436920.0,333960.0,0.0054,27.65,28.06,42.4,74.55,94.42
1436920.0,338120.0,0.0073,27.62,28.03,42.32,74.65,94.11
1436920.0,342280.0,0.0148,27.64,28.01,42.26,74.48,94.3
1436920.0,346440.0,0.0061,27.65,27.99,42.2,74.32,94.49
1436920.0,350600.0,0.0111,27.67,27.97,42.15,74.16,94.68
1436920.0,354760.0,0.0125,27.68,27.95,42.09,74.0,94.88
1436920.0,358920.0,0.0169,27.69,27.93,42.04,73.84,95.07
1436920.0,363080.0,0.0143,27.71,27.91,41.98,73.68,95.26
1436920.0,367240.0,0.0139,27.73,27.91,41.95,73.46,95.65
1436920.0,371400.0,0.0247,27.77,27.92,41.94,73.21,96.12
1436920.0,375560.0,0.0152,27.8,27.93,41.92,72.96,96.6
1436920.0,379720.0,0.024,27.84,27.93,41.9,72.71,97.08
1436920.0,383880.0,0.0268,27.87,27.94,41.89,72.46,97.55
1436920.0,388040.0,0.0222,27.9,27.95,41.87,72.22,98.03
1436920.0,392200.0,0.0312,27.93,27.95,41.86,72.02,98.39
1432760.0,284040.0,0.0055,27.86,28.21,43.07,73.19,97.48
1432760.0,288200.0,0.0075,27.86,28.21,43.04,73.23,97.39
1432760.0,292360.0,0.006,27.85,28.21,43.01,73.28,97.29
1432760.0,296520.0,0.0069,27.84,28.21,42.98,73.33,97.2
1432760.0,300680.0,0.0049,27.84,28.21,42.95,73.38,97.11
1432760.0,304840.0,0.0082,27.83,28.21,42.92,73.42,97.02
1432760.0,313160.0,0.0051,27.81,28.19,42.83,73.57,96.65
1432760.0,317320.0,0.0068,27.78,28.17,42.75,73.69,96.31
1432760.0,321480.0,0.0065,27.76,28.14,42.67,73.8,95.98
1432760.0,325640.0,0.0107,27.73,28.12,42.59,73.92,95.64
1432760.0,329800.0,0.0078,27.71,28.09,42.51,74.04,95.3
1432760.0,333960.0,0.0083,27.68,28.07,42.43,74.16,94.96
1432760.0,338120.0,0.0012,27.67,28.04,42.36,74.22,94.73
1432760.0,342280.0,0.0043,27.68,28.03,42.31,74.07,94.92
1432760.0,346440.0,0.0086,27.7,28.01,42.26,73.92,95.11
1432760.0,350600.0,0.0078,27.71,27.99,42.21,73.78,95.3
1432760.0,354760.0,0.0055,27.72,27.97,42.17,73.63,95.49
1432760.0,358920.0,0.0132,27.74,27.96,42.12,73.48,95.68
1432760.0,363080.0,0.014,27.75,27.94,42.07,73.34,95.87
1432760.0,367240.0,0.0179,27.78,27.94,42.05,73.13,96.23
1432760.0,371400.0,0.0176,27.81,27.94,42.04,72.91,96.66
1432760.0,375560.0,0.0185,27.84,27.95,42.03,72.68,97.09
1432760.0,379720.0,0.0175,27.87,27.96,42.02,72.45,97.52
1432760.0,383880.0,0.0215,27.9,27.96,42.01,72.22,97.96
1432760.0,388040.0,0.024,27.93,27.97,42.0,71.99,98.39
1432760.0,392200.0,0.0374,27.95,27.97,42.0,71.82,98.71
1428600.0,300680.0,0.0041,27.82,28.18,42.9,73.32,96.92
1428600.0,304840.0,0.0055,27.82,28.18,42.87,73.33,96.89
1428600.0,333960.0,0.0086,27.72,28.08,42.46,73.76,95.5
1428600.0,338120.0,0.0016,27.71,28.06,42.4,73.79,95.35
1428600.0,342280.0,0.0008,27.73,28.04,42.36,73.66,95.54
1428600.0,346440.0,0.0075,27.74,28.03,42.32,73.53,95.73
1428600.0,350600.0,0.0132,27.75,28.01,42.28,73.4,95.92
1428600.0,354760.0,0.0022,27.77,27.99,42.24,73.26,96.11
1428600.0,358920.0,0.0122,27.78,27.98,42.2,73.13,96.3
1428600.0,363080.0,0.012,27.79,27.96,42.16,73.0,96.49
1428600.0,367240.0,0.0128,27.82,27.96,42.14,72.81,96.81
1428600.0,371400.0,0.0166,27.84,27.97,42.14,72.6,97.2
1428600.0,375560.0,0.0224,27.87,27.97,42.14,72.4,97.59
1428600.0,379720.0,0.0183,27.9,27.98,42.14,72.19,97.97
1428600.0,383880.0,0.0271,27.93,27.98,42.13,71.98,98.36
1428600.0,388040.0,0.0256,27.95,27.99,42.13,71.78,98.75
1428600.0,392200.0,0.0305,27.98,27.99,42.13,71.62,99.04
1424440.0,354760.0,0.0148,27.81,28.02,42.31,72.9,96.73
1424440.0,358920.0,0.0083,27.82,28.0,42.28,72.78,96.91
1424440.0,363080.0,0.0093,27.84,27.99,42.25,72.66,97.1
1424440.0,367240.0,0.0163,27.86,27.99,42.24,72.49,97.4
1424440.0,371400.0,0.015,27.88,27.99,42.24,72.3,97.74
1424440.0,375560.0,0.0139,27.91,28.0,42.25,72.12,98.08
1424440.0,379720.0,0.0302,27.93,28.0,42.25,71.93,98.42
1424440.0,383880.0,0.0288,27.96,28.0,42.25,71.74,98.77
1424440.0,388040.0,0.0204,27.98,28.01,42.26,71.56,99.11
1424440.0,392200.0,0.0243,28.0,28.01,42.26,71.42,99.36
1420280.0,375560.0,0.0147,27.94,28.02,42.36,71.84,98.57
1420280.0,379720.0,0.0218,27.96,28.02,42.37,71.67,98.87
1420280.0,383880.0,0.0169,27.98,28.03,42.38,71.5,99.17
1420280.0,388040.0,0.0165,28.01,28.03,42.39,71.34,99.47
1420280.0,392200.0,0.0203,28.02,28.03,42.4,71.23,99.68
